layer_index,tensor_index,bit_index,weight_start,weight_corrupted,weight_difference,bit_flip_distance
1,"(4, 0, 1, 11)",22,0.024333164,0.016520664,0.0078125,0.0078125
1,"(0, 0, 1, 12)",22,-0.11004566,-0.07879566,0.03125,0.03125
1,"(4, 1, 2, 20)",22,0.09540132,0.06415132,0.03125,0.03125
1,"(2, 4, 0, 42)",22,0.07026896,0.10151896,0.03125,0.03125
1,"(4, 2, 0, 23)",22,-0.1966587,-0.1341587,0.0625,0.0625
1,"(1, 1, 2, 32)",22,0.11507006,0.08382006,0.03125,0.03125
1,"(1, 1, 1, 22)",22,-0.06623406,-0.09748406,0.03125,0.03125
1,"(1, 1, 0, 60)",22,-0.09578352,-0.06453352,0.03125,0.03125
1,"(1, 0, 0, 13)",22,-0.11120784,-0.07995784,0.03125,0.03125
1,"(3, 2, 1, 8)",22,-0.07845028,-0.10970028,0.03125,0.03125
1,"(3, 1, 1, 3)",22,-0.18716083,-0.24966083,0.0625,0.0625
1,"(4, 0, 1, 43)",22,0.12957117,0.19207117,0.0625,0.0625
1,"(4, 2, 0, 16)",22,-0.07839671,-0.10964671,0.03125,0.03125
1,"(3, 1, 2, 15)",22,0.112327315,0.081077315,0.03125,0.03125
1,"(0, 4, 1, 47)",22,-0.1373192,-0.1998192,0.0625,0.0625
1,"(2, 2, 1, 40)",22,0.019933268,0.027745768,0.0078125,0.0078125
1,"(1, 3, 2, 23)",22,0.13083474,0.19333474,0.0625,0.0625
1,"(4, 3, 1, 57)",22,-0.14265549,-0.20515549,0.0625,0.0625
1,"(3, 0, 0, 34)",22,0.09201448,0.12326448,0.03125,0.03125
1,"(2, 1, 0, 10)",22,0.090908125,0.122158125,0.03125,0.03125
1,"(0, 0, 1, 49)",22,0.04550829,0.06113329,0.015625,0.015625
1,"(3, 0, 0, 61)",22,-0.09994319,-0.06869319,0.03125,0.03125
1,"(4, 2, 0, 27)",22,-0.001152784,-0.0016410652,0.00048828125,0.00048828125
1,"(3, 0, 0, 43)",22,-0.2787533,-0.4037533,0.125,0.125
1,"(4, 4, 1, 4)",22,0.046673745,0.062298745,0.015625,0.015625
1,"(1, 0, 0, 18)",22,-0.038040202,-0.053665202,0.015625,0.015625
1,"(0, 2, 0, 17)",22,-0.28149518,-0.40649518,0.125,0.125
1,"(1, 0, 2, 28)",22,-0.080270685,-0.111520685,0.03125,0.03125
1,"(4, 0, 0, 1)",22,-0.06298231,-0.09423231,0.03125,0.03125
1,"(4, 1, 0, 18)",22,-0.10254131,-0.07129131,0.03125,0.03125
1,"(3, 1, 2, 44)",22,0.07096592,0.10221592,0.03125,0.03125
1,"(4, 2, 2, 54)",22,-0.06999939,-0.10124939,0.03125,0.03125
1,"(0, 1, 2, 22)",22,0.09086772,0.12211772,0.03125,0.03125
1,"(2, 0, 2, 15)",22,-0.102613375,-0.071363375,0.03125,0.03125
1,"(1, 2, 0, 54)",22,0.17474444,0.23724444,0.0625,0.0625
1,"(0, 1, 2, 33)",22,-0.06279672,-0.09404672,0.03125,0.03125
1,"(4, 2, 0, 55)",22,0.08866064,0.11991064,0.03125,0.03125
1,"(0, 1, 1, 39)",22,-0.04213834,-0.05776334,0.015625,0.015625
1,"(0, 1, 1, 49)",22,-0.17180347,-0.23430347,0.0625,0.0625
1,"(4, 4, 2, 13)",22,0.007848771,0.011755021,0.00390625,0.00390625
1,"(0, 3, 0, 59)",22,0.21533696,0.15283696,0.0625,0.0625
1,"(1, 2, 1, 5)",22,0.21058525,0.14808525,0.0625,0.0625
1,"(4, 0, 1, 40)",22,0.009714582,0.013620832,0.00390625,0.00390625
1,"(3, 1, 1, 47)",22,0.15294774,0.21544774,0.0625,0.0625
1,"(0, 0, 0, 42)",22,0.07026944,0.10151944,0.03125,0.03125
1,"(3, 4, 2, 14)",22,-0.14617653,-0.20867653,0.0625,0.0625
1,"(0, 3, 1, 29)",22,-0.051517125,-0.035892125,0.015625,0.015625
1,"(1, 2, 0, 19)",22,-0.014610801,-0.010704551,0.00390625,0.00390625
1,"(0, 0, 1, 28)",22,0.034998562,0.050623562,0.015625,0.015625
1,"(2, 4, 2, 10)",22,-0.03674661,-0.05237161,0.015625,0.015625
