layer_index,tensor_index,bit_index,weight_start,weight_corrupted,weight_difference,bit_flip_distance
1,"(4, 0, 1, 11)",18,-0.066320,-0.06619796296581626,0.0001220703125,0.0001220703125
1,"(0, 0, 1, 12)",18,-0.104180,-0.10405802167952061,0.0001220703125,0.0001220703125
1,"(4, 1, 2, 20)",18,-0.000323,-0.00032113421184476465,1.9073486328125e-06,1.9073486328125e-06
1,"(2, 4, 0, 42)",18,0.104062,0.10418408922851086,0.0001220703125,0.0001220703125
1,"(4, 2, 0, 23)",18,-0.277672,-0.27815981209278107,0.00048828125,0.00048828125
1,"(1, 1, 2, 32)",18,0.053821,0.05394324054941535,0.0001220703125,0.0001220703125
1,"(1, 1, 1, 22)",18,-0.145721,-0.14596519712358713,0.000244140625,0.000244140625
1,"(1, 1, 0, 60)",18,-0.081820,-0.08194206655025482,0.0001220703125,0.0001220703125
1,"(1, 0, 0, 13)",18,-0.135808,-0.13605241756886244,0.000244140625,0.000244140625
1,"(3, 2, 1, 8)",18,-0.066734,-0.06685646716505289,0.0001220703125,0.0001220703125
1,"(3, 1, 1, 3)",18,-0.158222,-0.15846653189510107,0.000244140625,0.000244140625
1,"(4, 0, 1, 43)",18,0.092474,0.0923523223027587,0.0001220703125,0.0001220703125
1,"(4, 2, 0, 16)",18,-0.098169,-0.09829099010676146,0.0001220703125,0.0001220703125
1,"(3, 1, 2, 15)",18,0.133896,0.13414039742201567,0.000244140625,0.000244140625
1,"(0, 4, 1, 47)",18,-0.011615,-0.011645830818451941,3.0517578125e-05,3.0517578125e-05
1,"(2, 2, 1, 40)",18,-0.052320,-0.052442499436438084,0.0001220703125,0.0001220703125
1,"(1, 3, 2, 23)",18,0.172438,0.17268238589167595,0.000244140625,0.000244140625
1,"(4, 3, 1, 57)",18,-0.119263,-0.11914084712043405,0.0001220703125,0.0001220703125
1,"(3, 0, 0, 34)",18,0.102801,0.10292331408709288,0.0001220703125,0.0001220703125
1,"(2, 1, 0, 10)",18,0.043519,0.04364111227914691,0.0001220703125,0.0001220703125
1,"(0, 0, 1, 49)",18,0.060068,0.06019005784764886,0.0001220703125,0.0001220703125
1,"(3, 0, 0, 61)",18,-0.061452,-0.06133027374744415,0.0001220703125,0.0001220703125
1,"(4, 2, 0, 27)",18,-0.043775,-0.04389727581292391,0.0001220703125,0.0001220703125
1,"(3, 0, 0, 43)",18,-0.152537,-0.15278154145926237,0.000244140625,0.000244140625
1,"(4, 4, 1, 4)",18,0.094631,0.09450864605605602,0.0001220703125,0.0001220703125
1,"(1, 0, 0, 18)",18,0.000224,0.000222460221266374,1.9073486328125e-06,1.9073486328125e-06
1,"(0, 2, 0, 17)",18,-0.217034,-0.21727765817195177,0.000244140625,0.000244140625
1,"(1, 0, 2, 28)",18,-0.183688,-0.18393184058368206,0.000244140625,0.000244140625
1,"(4, 0, 0, 1)",18,0.062789,0.06291128229349852,0.0001220703125,0.0001220703125
1,"(4, 1, 0, 18)",18,-0.104503,-0.10462471935898066,0.0001220703125,0.0001220703125
1,"(3, 1, 2, 44)",18,0.134325,0.13456873781979084,0.000244140625,0.000244140625
1,"(4, 2, 2, 54)",18,-0.054693,-0.054814871866256,0.0001220703125,0.0001220703125
1,"(0, 1, 2, 22)",18,0.084405,0.08428270416334271,0.0001220703125,0.0001220703125
1,"(2, 0, 2, 15)",18,-0.006357,-0.0063721645856276155,1.52587890625e-05,1.52587890625e-05
1,"(1, 2, 0, 54)",18,0.153672,0.15342802740633488,0.000244140625,0.000244140625
1,"(0, 1, 2, 33)",18,0.049012,0.04889005748555064,0.0001220703125,0.0001220703125
1,"(4, 2, 0, 55)",18,0.140405,0.1401611678302288,0.000244140625,0.000244140625
1,"(0, 1, 1, 39)",18,0.023059,0.022998018190264702,6.103515625e-05,6.103515625e-05
1,"(0, 1, 1, 49)",18,-0.009586,-0.009616390219889581,3.0517578125e-05,3.0517578125e-05
1,"(4, 4, 2, 13)",18,0.023463,0.023523574229329824,6.103515625e-05,6.103515625e-05
1,"(0, 3, 0, 59)",18,0.135957,0.1362008871510625,0.000244140625,0.000244140625
1,"(1, 2, 1, 5)",18,0.098134,0.09801215073093772,0.0001220703125,0.0001220703125
1,"(4, 0, 1, 40)",18,0.055874,0.05575233045965433,0.0001220703125,0.0001220703125
1,"(3, 1, 1, 47)",18,0.218331,0.21857512928545475,0.000244140625,0.000244140625
1,"(0, 0, 0, 42)",18,-0.002421,-0.0024364066775888205,1.52587890625e-05,1.52587890625e-05
1,"(3, 4, 2, 14)",18,-0.171648,-0.1714034741744399,0.000244140625,0.000244140625
1,"(0, 3, 1, 29)",18,-0.037305,-0.037182734813541174,0.0001220703125,0.0001220703125
1,"(1, 2, 0, 19)",18,-0.072084,-0.07220588251948357,0.0001220703125,0.0001220703125
1,"(0, 0, 1, 28)",18,-0.030351,-0.030290442751720548,6.103515625e-05,6.103515625e-05
1,"(2, 4, 2, 10)",18,-0.010463,-0.010493970476090908,3.0517578125e-05,3.0517578125e-05
