
fault_id,layer_index,tensor_index,bit_index,accuracy,golden_accuracy,difference,top_5,weight_difference
0,1,"(4, 0, 1, 11)",29,0.669921875,0.669921875,0.0,0.962890625,0.024333164
1,1,"(0, 0, 1, 12)",31,0.669921875,0.669921875,0.0,0.962890625,-0.22009131
2,1,"(4, 1, 2, 20)",30,0.171875,0.669921875,-0.498046875,0.564453125,-3.2463386e+37
3,1,"(2, 4, 0, 42)",28,0.669921875,0.669921875,0.0,0.962890625,0.07026896
4,1,"(2, 4, 1, 49)",31,0.669921875,0.669921875,0.0,0.962890625,0.11409948
5,1,"(0, 1, 1, 7)",31,0.669921875,0.669921875,0.0,0.962890625,-0.39131215
6,1,"(1, 1, 0, 60)",29,0.669921875,0.669921875,0.0,0.962890625,-0.09578352
7,1,"(0, 0, 1, 51)",31,0.669921875,0.669921875,0.0,0.962890625,-0.0322238
8,1,"(2, 1, 0, 30)",31,0.669921875,0.669921875,0.0,0.958984375,0.2263148
9,1,"(3, 1, 1, 3)",28,0.669921875,0.669921875,0.0,0.962890625,-0.18716083
fault_id,layer_index,tensor_index,bit_index,accuracy,golden_accuracy,difference,top_5,weight_difference
0,0,"(4, 0, 1, 11)",31,0.666015625,0.669921875,-0.00390625,0.958984375,-0.19035435
1,0,"(0, 0, 1, 12)",31,0.66796875,0.669921875,-0.001953125,0.958984375,0.4589852
2,0,"(4, 1, 2, 20)",31,0.671875,0.669921875,0.001953125,0.9609375,-0.3517315
3,0,"(2, 4, 0, 42)",31,0.669921875,0.669921875,0.0,0.9609375,-0.033911113
4,0,"(4, 2, 0, 23)",31,0.66796875,0.669921875,-0.001953125,0.9609375,-0.13363834
5,0,"(1, 1, 2, 32)",31,0.666015625,0.669921875,-0.00390625,0.96484375,0.33993965
6,0,"(1, 1, 1, 22)",31,0.6640625,0.669921875,-0.005859375,0.9609375,-0.35814956
7,0,"(1, 1, 0, 60)",31,0.66796875,0.669921875,-0.001953125,0.962890625,-0.24508095
8,0,"(1, 0, 0, 13)",31,0.669921875,0.669921875,0.0,0.962890625,0.029858325
9,0,"(3, 2, 1, 8)",31,0.66796875,0.669921875,-0.001953125,0.958984375,-0.21341091
fault_id,layer_index,tensor_index,bit_index,accuracy,golden_accuracy,difference,top_5,weight_difference
0,1,"(4, 0, 1, 11)",31,0.669921875,0.669921875,0.0,0.962890625,0.04866633
1,1,"(0, 0, 1, 12)",31,0.669921875,0.669921875,0.0,0.962890625,-0.22009131
2,1,"(4, 1, 2, 20)",31,0.669921875,0.669921875,0.0,0.962890625,0.19080263
3,1,"(2, 4, 0, 42)",31,0.669921875,0.669921875,0.0,0.962890625,0.14053792
4,1,"(4, 2, 0, 23)",31,0.66796875,0.669921875,-0.001953125,0.962890625,-0.3933174
5,1,"(1, 1, 2, 32)",31,0.669921875,0.669921875,0.0,0.9609375,0.23014012
6,1,"(1, 1, 1, 22)",31,0.669921875,0.669921875,0.0,0.9609375,-0.13246812
7,1,"(1, 1, 0, 60)",31,0.669921875,0.669921875,0.0,0.962890625,-0.19156703
8,1,"(1, 0, 0, 13)",31,0.669921875,0.669921875,0.0,0.962890625,-0.22241569
9,1,"(3, 2, 1, 8)",31,0.669921875,0.669921875,0.0,0.9609375,-0.15690055
fault_id,layer_index,tensor_index,bit_index,accuracy,golden_accuracy,difference,top_5,weight_difference
0,0,"(0, 1, 1, 15)",30,0.138671875,0.669921875,-0.53125,0.541015625,1.0819703e+37
1,0,"(0, 1, 0, 7)",30,0.1171875,0.669921875,-0.552734375,0.236328125,-8.4511076e+37
2,1,"(4, 1, 2, 20)",30,0.171875,0.669921875,-0.498046875,0.564453125,-3.2463386e+37
3,0,"(2, 4, 0, 42)",30,0.166015625,0.669921875,-0.50390625,0.58984375,5.769677e+36
4,0,"(2, 4, 1, 49)",30,0.12109375,0.669921875,-0.548828125,0.248046875,7.5286205e+37
5,1,"(0, 1, 1, 7)",30,0.673828125,0.669921875,0.00390625,0.95703125,6.6578313e+37
6,1,"(1, 1, 0, 60)",30,0.6640625,0.669921875,-0.005859375,0.96484375,3.2593442e+37
7,1,"(0, 0, 1, 51)",30,0.66796875,0.669921875,-0.001953125,0.962890625,5.482595e+36
8,1,"(2, 1, 0, 30)",30,0.111328125,0.669921875,-0.55859375,0.54296875,-3.8505468e+37
9,1,"(3, 1, 1, 3)",30,0.669921875,0.669921875,0.0,0.9609375,6.368753e+37
fault_id,layer_index,tensor_index,bit_index,accuracy,golden_accuracy,difference,top_5,weight_difference
0,0,"(0, 1, 1, 15)",29,0.669921875,0.669921875,0.0,0.9609375,-0.03179625
1,0,"(1, 4, 1, 60)",31,0.669921875,0.669921875,0.0,0.962890625,0.065397054
2,1,"(2, 4, 2, 37)",31,0.669921875,0.669921875,0.0,0.9609375,-0.116273984
3,0,"(3, 4, 2, 28)",30,0.099609375,0.669921875,-0.5703125,0.443359375,6.090866e+37
4,0,"(2, 4, 1, 49)",31,0.673828125,0.669921875,0.00390625,0.9609375,-0.44249254
5,0,"(1, 1, 1, 22)",30,0.119140625,0.669921875,-0.55078125,0.251953125,6.093599e+37
6,1,"(0, 4, 1, 8)",29,0.669921875,0.669921875,0.0,0.9609375,-0.02231424
7,1,"(3, 2, 1, 8)",31,0.669921875,0.669921875,0.0,0.9609375,-0.15690055
8,1,"(3, 1, 1, 3)",29,0.669921875,0.669921875,0.0,0.962890625,-0.18716083
9,0,"(1, 3, 0, 26)",29,0.66796875,0.669921875,-0.001953125,0.958984375,-0.2090953
