fault_id,layer_index,tensor_index,bit_index,accuracy,golden_accuracy,difference,top_5,weight_difference
0,0,"(4, 0, 1, 11)",30,0.12890625,0.669921875,-0.541015625,0.515625,3.2387114e+37
1,0,"(0, 0, 1, 12)",30,0.125,0.669921875,-0.544921875,0.2109375,-7.8092287e+37
2,0,"(4, 1, 2, 20)",30,0.08203125,0.669921875,-0.587890625,0.185546875,5.9844015e+37
3,0,"(2, 4, 0, 42)",30,0.166015625,0.669921875,-0.50390625,0.58984375,5.769677e+36
4,0,"(4, 2, 0, 23)",30,0.123046875,0.669921875,-0.546875,0.50390625,2.2737385e+37
5,0,"(1, 1, 2, 32)",30,0.126953125,0.669921875,-0.54296875,0.19921875,-5.7837735e+37
6,0,"(1, 1, 1, 22)",30,0.119140625,0.669921875,-0.55078125,0.251953125,6.093599e+37
7,0,"(1, 1, 0, 60)",30,0.142578125,0.669921875,-0.52734375,0.5078125,4.1698363e+37
8,0,"(1, 0, 0, 13)",30,0.09765625,0.669921875,-0.572265625,0.515625,-5.0801307e+36
9,0,"(3, 2, 1, 8)",30,0.12890625,0.669921875,-0.541015625,0.60546875,3.6309985e+37
10,0,"(3, 1, 1, 3)",30,0.103515625,0.669921875,-0.56640625,0.150390625,7.1329264e+37
11,0,"(4, 0, 1, 43)",30,0.1171875,0.669921875,-0.552734375,0.46875,-1.6377663e+37
12,0,"(4, 2, 0, 16)",30,0.125,0.669921875,-0.544921875,0.375,-2.42557e+37
13,0,"(3, 1, 2, 15)",30,0.115234375,0.669921875,-0.5546875,0.232421875,-7.314843e+37
14,0,"(0, 4, 1, 47)",30,0.083984375,0.669921875,-0.5859375,0.19140625,6.368233e+37
15,0,"(2, 2, 1, 40)",30,0.12109375,0.669921875,-0.548828125,0.53125,-3.6053385e+37
16,0,"(1, 3, 2, 23)",30,0.0703125,0.669921875,-0.599609375,0.2109375,7.2139374e+37
17,0,"(4, 3, 1, 57)",30,0.1015625,0.669921875,-0.568359375,0.541015625,-1.8764663e+37
18,0,"(3, 0, 0, 34)",30,0.09765625,0.669921875,-0.572265625,0.134765625,8.0215525e+37
19,0,"(2, 1, 0, 10)",30,0.11328125,0.669921875,-0.556640625,0.541015625,2.3474574e+37
20,0,"(0, 0, 1, 49)",30,0.154296875,0.669921875,-0.515625,0.546875,1.2922321e+37
21,0,"(3, 0, 0, 61)",30,0.125,0.669921875,-0.544921875,0.541015625,-1.6130427e+37
22,0,"(4, 2, 0, 27)",30,0.138671875,0.669921875,-0.53125,0.556640625,1.2131921e+36
23,0,"(3, 0, 0, 43)",30,0.10546875,0.669921875,-0.564453125,0.474609375,-6.777908e+36
24,0,"(4, 4, 1, 4)",30,0.13671875,0.669921875,-0.533203125,0.572265625,4.362913e+37
25,0,"(1, 0, 0, 18)",30,0.115234375,0.669921875,-0.5546875,0.564453125,5.1180075e+37
26,0,"(0, 2, 0, 17)",30,0.130859375,0.669921875,-0.5390625,0.5234375,-3.2519697e+37
27,0,"(1, 0, 2, 28)",30,0.15234375,0.669921875,-0.517578125,0.53515625,-4.2951744e+37
28,0,"(4, 0, 0, 1)",30,0.171875,0.669921875,-0.498046875,0.60546875,5.956206e+36
29,0,"(4, 1, 0, 18)",30,0.115234375,0.669921875,-0.5546875,0.4140625,-8.841769e+37
30,0,"(3, 1, 2, 44)",30,0.09375,0.669921875,-0.576171875,0.486328125,-2.3992967e+36
31,0,"(4, 2, 2, 54)",30,0.07421875,0.669921875,-0.595703125,0.443359375,1.5947252e+36
32,0,"(0, 1, 2, 22)",30,0.126953125,0.669921875,-0.54296875,0.21484375,-7.2392316e+37
33,0,"(2, 0, 2, 15)",30,0.14453125,0.669921875,-0.525390625,0.48046875,3.9252852e+37
34,0,"(1, 2, 0, 54)",30,0.103515625,0.669921875,-0.56640625,0.525390625,2.962228e+37
35,0,"(0, 1, 2, 33)",30,0.123046875,0.669921875,-0.546875,0.484375,1.8313056e+37
36,0,"(4, 2, 0, 55)",30,0.087890625,0.669921875,-0.58203125,0.478515625,-2.8036692e+37
37,0,"(0, 1, 1, 39)",30,0.119140625,0.669921875,-0.55078125,0.484375,3.161138e+37
38,0,"(0, 1, 1, 49)",30,0.123046875,0.669921875,-0.546875,0.240234375,7.3418996e+37
39,0,"(4, 4, 2, 13)",30,0.107421875,0.669921875,-0.5625,0.51171875,4.376229e+37
40,0,"(0, 3, 0, 59)",30,0.095703125,0.669921875,-0.57421875,0.521484375,-2.0114405e+37
41,0,"(1, 2, 1, 5)",30,0.076171875,0.669921875,-0.59375,0.494140625,-2.5201944e+37
42,0,"(4, 0, 1, 40)",30,0.123046875,0.669921875,-0.546875,0.572265625,2.0506134e+35
43,0,"(3, 1, 1, 47)",30,0.111328125,0.669921875,-0.55859375,0.21484375,5.8563815e+37
44,0,"(0, 0, 0, 42)",30,0.111328125,0.669921875,-0.55859375,0.521484375,-1.8351335e+37
45,0,"(3, 4, 2, 14)",30,0.103515625,0.669921875,-0.56640625,0.537109375,-2.8800068e+37
46,0,"(0, 3, 1, 29)",30,0.115234375,0.669921875,-0.5546875,0.548828125,-1.2490753e+37
47,0,"(1, 2, 0, 19)",30,0.09765625,0.669921875,-0.572265625,0.505859375,3.921968e+37
48,0,"(0, 0, 1, 28)",30,0.126953125,0.669921875,-0.54296875,0.505859375,-1.9182332e+37
49,0,"(2, 4, 2, 10)",30,0.095703125,0.669921875,-0.57421875,0.4453125,-9.5135276e+36
