fault_id,layer_index,tensor_index,bit_index,accuracy,golden_accuracy,difference,top_5,weight_difference
0,1,"(0, 3, 2, 11)",8,0.6796875,0.6796875,0.0,0.9453125,-1.1920928955078125e-07
1,1,"(2, 1, 1, 47)",31,0.6640625,0.6796875,-0.015625,0.9453125,16.803846836090088
2,1,"(2, 4, 0, 52)",5,0.6796875,0.6796875,0.0,0.9453125,5.960464477539063e-08
3,1,"(3, 4, 2, 43)",19,0.6796875,0.6796875,0.0,0.9453125,-0.000244140625
4,1,"(2, 1, 2, 60)",31,0.671875,0.6796875,-0.0078125,0.9453125,-6.366865545511246
5,1,"(0, 4, 2, 6)",31,0.6796875,0.6796875,0.0,0.9453125,29.91455054283142
6,1,"(1, 2, 0, 52)",14,0.6796875,0.6796875,0.0,0.9453125,3.0517578125e-05
7,0,"(2, 4, 2, 63)",15,0.6796875,0.6796875,0.0,0.9453125,-3.814697265625e-06
8,1,"(0, 2, 1, 58)",15,0.6796875,0.6796875,0.0,0.9453125,3.814697265625e-06
9,1,"(0, 1, 2, 56)",26,0.6796875,0.6796875,0.0,0.9453125,0.02735156030394137
10,1,"(1, 1, 1, 46)",28,0.6796875,0.6796875,0.0,0.9453125,-0.2541477885097265
