fault_id,layer_index,tensor_index,bit_index,accuracy,golden_accuracy,difference,top_5,weight_difference
0,0,"(4, 0, 1, 11)",28,0.6953125,0.6953125,0.0,0.98046875,0.31866144575178623
1,0,"(0, 0, 1, 12)",28,0.689453125,0.6953125,-0.005859375,0.978515625,-0.745349008589983
2,0,"(4, 1, 2, 20)",28,0.69921875,0.6953125,0.00390625,0.974609375,0.5786180011928082
3,0,"(2, 4, 0, 42)",28,0.6953125,0.6953125,0.0,0.98046875,-0.026969132479280233
4,0,"(4, 2, 0, 23)",28,0.6953125,0.6953125,0.0,0.98046875,-0.027966091642156243
5,0,"(1, 1, 2, 32)",28,0.693359375,0.6953125,-0.001953125,0.982421875,-0.4956195279955864
6,0,"(1, 1, 1, 22)",28,0.693359375,0.6953125,-0.001953125,0.978515625,0.6376648545265198
7,0,"(1, 1, 0, 60)",28,0.693359375,0.6953125,-0.001953125,0.978515625,0.3500154744833708
8,0,"(1, 0, 0, 13)",28,0.6953125,0.6953125,0.0,0.98046875,0.006917262857314199
9,0,"(3, 2, 1, 8)",28,0.69140625,0.6953125,-0.00390625,0.98046875,0.2856166251003742
10,0,"(3, 1, 1, 3)",28,0.6953125,0.6953125,0.0,0.982421875,0.4717966988682747
11,0,"(4, 0, 1, 43)",28,0.697265625,0.6953125,0.001953125,0.98046875,-0.22274869680404663
12,0,"(4, 2, 0, 16)",28,0.6953125,0.6953125,0.0,0.978515625,-0.2587957829236984
13,0,"(3, 1, 2, 15)",28,0.6953125,0.6953125,0.0,0.974609375,-0.6467659771442413
14,0,"(0, 4, 1, 47)",28,0.6953125,0.6953125,0.0,0.978515625,0.5698539167642593
15,0,"(2, 2, 1, 40)",28,0.697265625,0.6953125,0.001953125,0.98046875,0.05015479028224945
16,0,"(1, 3, 2, 23)",28,0.689453125,0.6953125,-0.005859375,0.98046875,0.5239698514342308
17,0,"(4, 3, 1, 57)",28,0.69921875,0.6953125,0.00390625,0.982421875,-0.29671623557806015
18,0,"(3, 0, 0, 34)",28,0.697265625,0.6953125,0.001953125,0.978515625,-0.20355552155524492
19,0,"(2, 1, 0, 10)",28,0.693359375,0.6953125,-0.001953125,0.98046875,0.2588429842144251
20,0,"(0, 0, 1, 49)",28,0.6953125,0.6953125,0.0,0.98046875,-0.007670589780900627
21,0,"(3, 0, 0, 61)",28,0.6953125,0.6953125,0.0,0.98046875,0.046003835275769234
22,0,"(4, 2, 0, 27)",28,0.697265625,0.6953125,0.001953125,0.98046875,0.04857096495106816
23,0,"(3, 0, 0, 43)",28,0.6953125,0.6953125,0.0,0.98046875,0.05003913026303053
24,0,"(4, 4, 1, 4)",28,0.6953125,0.6953125,0.0,0.98046875,-0.052322229370474815
25,0,"(1, 0, 0, 18)",28,0.703125,0.6953125,0.0078125,0.98046875,0.5181176736950874
26,0,"(0, 2, 0, 17)",28,0.6953125,0.6953125,0.0,0.984375,-0.23425847105681896
27,0,"(1, 0, 2, 28)",28,0.69140625,0.6953125,-0.00390625,0.98046875,-0.4457068592309952
28,0,"(4, 0, 0, 1)",28,0.697265625,0.6953125,0.001953125,0.98046875,-0.024221414234489202
29,0,"(4, 1, 0, 18)",28,0.685546875,0.6953125,-0.009765625,0.98046875,-0.6790413819253445
30,0,"(3, 1, 2, 44)",28,0.697265625,0.6953125,0.001953125,0.98046875,0.04379794839769602
31,0,"(4, 2, 2, 54)",28,0.697265625,0.6953125,0.001953125,0.98046875,-0.04036223562434316
32,0,"(0, 1, 2, 22)",28,0.697265625,0.6953125,0.001953125,0.98046875,-0.4767249785363674
33,0,"(2, 0, 2, 15)",28,0.697265625,0.6953125,0.001953125,0.984375,0.2837618961930275
34,0,"(1, 2, 0, 54)",28,0.701171875,0.6953125,0.005859375,0.982421875,0.24803230725228786
35,0,"(0, 1, 2, 33)",28,0.6953125,0.6953125,0.0,0.98046875,-0.011126986937597394
36,0,"(4, 2, 0, 55)",28,0.69921875,0.6953125,0.00390625,0.98046875,0.05287989182397723
37,0,"(0, 1, 1, 39)",28,0.693359375,0.6953125,-0.001953125,0.982421875,0.315685810521245
38,0,"(0, 1, 1, 49)",28,0.703125,0.6953125,0.0078125,0.982421875,0.4786323271691799
39,0,"(4, 4, 2, 13)",28,0.697265625,0.6953125,0.001953125,0.978515625,0.4592571221292019
40,0,"(0, 3, 0, 59)",28,0.697265625,0.6953125,0.001953125,0.982421875,-0.28298903815448284
41,0,"(1, 2, 1, 5)",28,0.697265625,0.6953125,0.001953125,0.982421875,-0.3011597618460655
42,0,"(4, 0, 1, 40)",28,0.6953125,0.6953125,0.0,0.98046875,-0.007030126347672194
43,0,"(3, 1, 1, 47)",28,0.69921875,0.6953125,0.00390625,0.978515625,0.527214128524065
44,0,"(0, 0, 0, 42)",28,0.697265625,0.6953125,0.001953125,0.98046875,-0.2391174640506506
45,0,"(3, 4, 2, 14)",28,0.6953125,0.6953125,0.0,0.98046875,-0.5027491822838783
46,0,"(0, 3, 1, 29)",28,0.6953125,0.6953125,0.0,0.98046875,0.006938503182027489
47,0,"(1, 2, 0, 19)",28,0.6953125,0.6953125,0.0,0.98046875,-0.04706115834414959
48,0,"(0, 0, 1, 28)",28,0.697265625,0.6953125,0.001953125,0.98046875,0.0479391529224813
49,0,"(2, 4, 2, 10)",28,0.6953125,0.6953125,0.0,0.98046875,0.01837943959981203
