fault_id,layer_index,tensor_index,bit_index,accuracy,golden_accuracy,difference,top_5,weight_difference
0,1,"(2, 2, 1, 27)",10,0.6953125,0.6953125,0.0,0.98046875,-4.76837158203125e-07
1,0,"(0, 1, 2, 23)",23,0.697265625,0.6953125,0.001953125,0.98046875,0.00390625
2,1,"(2, 2, 1, 57)",1,0.6953125,0.6953125,0.0,0.98046875,-1.1641532182693481e-10
3,0,"(0, 1, 0, 19)",0,0.6953125,0.6953125,0.0,0.98046875,4.656612873077393e-10
4,1,"(0, 2, 2, 56)",5,0.6953125,0.6953125,0.0,0.98046875,1.4901161193847656e-08
5,1,"(1, 3, 2, 41)",1,0.6953125,0.6953125,0.0,0.98046875,9.313225746154785e-10
6,0,"(2, 0, 1, 63)",31,0.28515625,0.6953125,-0.41015625,0.751953125,22.127197980880737
7,0,"(1, 1, 1, 23)",23,0.6953125,0.6953125,0.0,0.98046875,-0.0009765625
8,1,"(1, 0, 2, 2)",25,0.6953125,0.6953125,0.0,0.98046875,-0.00032025003019953147
9,1,"(2, 4, 0, 51)",21,0.6953125,0.6953125,0.0,0.98046875,0.00048828125
10,1,"(1, 1, 2, 9)",28,0.6953125,0.6953125,0.0,0.98046875,-0.3093720879405737
11,1,"(4, 1, 1, 5)",22,0.6953125,0.6953125,0.0,0.98046875,0.00390625
12,1,"(1, 4, 0, 21)",1,0.6953125,0.6953125,0.0,0.98046875,3.725290298461914e-09
13,0,"(1, 2, 0, 19)",30,0.419921875,0.6953125,-0.275390625,0.810546875,14.263626635074615
14,1,"(2, 3, 2, 10)",28,0.6953125,0.6953125,0.0,0.98046875,0.40712156146764755
15,0,"(2, 2, 2, 23)",12,0.6953125,0.6953125,0.0,0.98046875,1.9073486328125e-06
16,1,"(2, 3, 0, 6)",28,0.6953125,0.6953125,0.0,0.98046875,0.2667582221329212
17,0,"(4, 4, 1, 43)",26,0.6953125,0.6953125,0.0,0.98046875,0.0011202514288015664
18,0,"(3, 4, 0, 46)",28,0.693359375,0.6953125,-0.001953125,0.98046875,-0.24733588937669992
19,0,"(1, 4, 0, 28)",29,0.681640625,0.6953125,-0.013671875,0.982421875,0.754800196737051
20,1,"(3, 1, 2, 17)",28,0.697265625,0.6953125,0.001953125,0.98046875,0.3559725321829319
21,1,"(1, 3, 1, 3)",0,0.6953125,0.6953125,0.0,0.98046875,9.313225746154785e-10
22,1,"(4, 0, 1, 19)",23,0.6953125,0.6953125,0.0,0.98046875,-0.00390625
23,0,"(4, 1, 0, 3)",2,0.6953125,0.6953125,0.0,0.98046875,2.3283064365386963e-10
24,0,"(2, 4, 2, 54)",23,0.6953125,0.6953125,0.0,0.98046875,0.0078125
25,0,"(0, 3, 0, 15)",27,0.697265625,0.6953125,0.001953125,0.98046875,0.042320909909904
26,1,"(2, 1, 2, 31)",13,0.6953125,0.6953125,0.0,0.98046875,-1.52587890625e-05
27,1,"(1, 4, 2, 14)",14,0.6953125,0.6953125,0.0,0.98046875,-1.9073486328125e-06
28,1,"(0, 4, 1, 3)",13,0.6953125,0.6953125,0.0,0.98046875,3.814697265625e-06
29,1,"(0, 4, 1, 13)",19,0.6953125,0.6953125,0.0,0.98046875,6.103515625e-05
30,0,"(1, 1, 0, 23)",31,0.341796875,0.6953125,-0.353515625,0.806640625,13.901975333690643
31,1,"(0, 1, 1, 9)",1,0.6953125,0.6953125,0.0,0.98046875,1.862645149230957e-09
32,0,"(3, 2, 0, 10)",31,0.1953125,0.6953125,-0.5,0.60546875,56.290931224823
33,1,"(4, 3, 1, 21)",17,0.6953125,0.6953125,0.0,0.98046875,1.52587890625e-05
34,0,"(0, 0, 0, 15)",22,0.6953125,0.6953125,0.0,0.98046875,0.001953125
35,1,"(1, 2, 2, 34)",9,0.6953125,0.6953125,0.0,0.98046875,-4.76837158203125e-07
36,1,"(3, 4, 1, 56)",8,0.6953125,0.6953125,0.0,0.98046875,-1.1920928955078125e-07
37,0,"(3, 2, 0, 59)",1,0.6953125,0.6953125,0.0,0.98046875,-9.313225746154785e-10
38,1,"(1, 3, 2, 41)",13,0.6953125,0.6953125,0.0,0.98046875,-3.814697265625e-06
39,1,"(2, 3, 2, 59)",10,0.6953125,0.6953125,0.0,0.98046875,-4.76837158203125e-07
40,0,"(3, 0, 0, 50)",29,0.693359375,0.6953125,-0.001953125,0.978515625,0.8055627085268497
41,1,"(1, 0, 0, 45)",2,0.6953125,0.6953125,0.0,0.98046875,1.862645149230957e-09
42,0,"(3, 4, 1, 49)",4,0.6953125,0.6953125,0.0,0.98046875,-7.450580596923828e-09
43,0,"(4, 0, 2, 9)",20,0.6953125,0.6953125,0.0,0.98046875,-0.00048828125
44,1,"(0, 2, 1, 37)",29,0.6953125,0.6953125,0.0,0.98046875,-0.23756555933505297
45,1,"(1, 1, 2, 21)",30,0.6953125,0.6953125,0.0,0.98046875,82.28175640106201
